task	model	srho_mean	srho_sd	srho_min	2021_dataset	2022_dataset	2020_dataset	dim_red	n_modalities	feature_set
task_11	elnet	-0.065	0.025	-0.082	-0.047	-0.082	NA	none	8	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	lasso	-0.039	0.012	-0.047	-0.047	-0.03	NA	none	8	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	rf	-0.318	0.076	-0.372	-0.372	-0.265	NA	none	8	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	elnet	-0.065	0.025	-0.082	-0.047	-0.082	NA	none	7	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_11	lasso	-0.039	0.012	-0.047	-0.047	-0.03	NA	none	7	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_11	rf	-0.337	0.121	-0.423	-0.251	-0.423	NA	none	7	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_11	elnet	-0.185	0.302	-0.398	0.028	-0.398	NA	none	6	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_activation+metadata+baseline
task_11	lasso	-0.176	0.289	-0.38	0.028	-0.38	NA	none	6	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_activation+metadata+baseline
task_11	rf	-0.037	0.078	-0.092	-0.092	0.018	NA	none	6	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_activation+metadata+baseline
task_11	elnet	-0.226	0.244	-0.398	-0.053	-0.398	NA	none	7	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	lasso	-0.213	0.225	-0.372	-0.053	-0.372	NA	none	7	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	rf	-0.1	0.055	-0.139	-0.139	-0.061	NA	none	7	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	elnet	-0.226	0.244	-0.398	-0.053	-0.398	NA	none	6	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_polarization+metadata+baseline
task_11	lasso	-0.22	0.235	-0.386	-0.053	-0.386	NA	none	6	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_polarization+metadata+baseline
task_11	rf	-0.17	0.04	-0.198	-0.141	-0.198	NA	none	6	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_polarization+metadata+baseline
task_11	elnet	0.034	0.019	0.021	0.048	0.021	NA	none	5	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	lasso	0.04	0.01	0.033	0.048	0.033	NA	none	5	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	rf	-0.293	0.151	-0.4	-0.187	-0.4	NA	none	5	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	elnet	-0.022	0.099	-0.092	0.048	-0.092	NA	none	6	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	lasso	0.003	0.064	-0.042	0.048	-0.042	NA	none	6	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	rf	-0.285	0.042	-0.314	-0.255	-0.314	NA	none	6	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	elnet	-0.085	0.054	-0.123	-0.047	-0.123	NA	none	7	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	lasso	-0.062	0.021	-0.077	-0.047	-0.077	NA	none	7	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	rf	-0.422	0.065	-0.468	-0.376	-0.468	NA	none	7	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
