task	model	srho_mean	srho_sd	srho_min	2021_dataset	2022_dataset	dim_red	n_modalities	feature_set
task_11	rf	-0.179	0.061	-0.223	-0.136	-0.223	none	6	pbmc_cell_frequency+pbmc_gene_expression+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	elnet	0.191	0.249	0.015	0.015	0.367	none	5	pbmc_cell_frequency+pbmc_gene_expression+t_cell_polarization+metadata+baseline
task_11	lasso	0.086	0.128	-0.005	-0.005	0.176	none	5	pbmc_cell_frequency+pbmc_gene_expression+t_cell_polarization+metadata+baseline
task_11	rf	-0.155	0.008	-0.161	-0.15	-0.161	none	5	pbmc_cell_frequency+pbmc_gene_expression+t_cell_polarization+metadata+baseline
task_11	elnet	0.216	0.266	0.028	0.028	0.405	none	4	pbmc_cell_frequency+plasma_ab_titer+metadata+baseline
task_11	lasso	-0.099	0.18	-0.226	0.028	-0.226	none	4	pbmc_cell_frequency+plasma_ab_titer+metadata+baseline
task_11	rf	-0.146	0.064	-0.191	-0.191	-0.101	none	4	pbmc_cell_frequency+plasma_ab_titer+metadata+baseline
task_11	elnet	0.229	0.275	0.035	0.035	0.424	none	5	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_11	lasso	-0.102	0.194	-0.239	0.035	-0.239	none	5	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_11	rf	-0.226	0.086	-0.287	-0.287	-0.165	none	5	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_11	elnet	0.113	0.093	0.048	0.048	0.179	none	6	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	lasso	-0.11	0.223	-0.268	0.048	-0.268	none	6	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	rf	-0.508	0.054	-0.546	-0.469	-0.546	none	6	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	elnet	0.113	0.093	0.048	0.048	0.179	none	7	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	lasso	-0.095	0.202	-0.238	0.048	-0.238	none	7	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	rf	-0.466	0.037	-0.492	-0.44	-0.492	none	7	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	elnet	0.047	0.134	-0.047	-0.047	0.142	none	8	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	lasso	-0.14	0.131	-0.233	-0.047	-0.233	none	8	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	rf	-0.53	0.097	-0.598	-0.462	-0.598	none	8	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	elnet	0.047	0.134	-0.047	-0.047	0.142	none	7	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_11	lasso	-0.14	0.131	-0.233	-0.047	-0.233	none	7	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_11	rf	-0.482	0.092	-0.547	-0.417	-0.547	none	7	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_11	elnet	0.226	0.28	0.028	0.028	0.424	none	6	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_activation+metadata+baseline
task_11	lasso	-0.105	0.189	-0.239	0.028	-0.239	none	6	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_activation+metadata+baseline
task_11	rf	-0.17	0.111	-0.249	-0.249	-0.092	none	6	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_activation+metadata+baseline
task_11	elnet	0.139	0.272	-0.053	-0.053	0.332	none	7	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	lasso	-0.157	0.147	-0.261	-0.053	-0.261	none	7	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	rf	-0.318	0.076	-0.372	-0.372	-0.265	none	7	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	elnet	0.086	0.198	-0.053	-0.053	0.226	none	6	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_polarization+metadata+baseline
task_11	lasso	-0.185	0.186	-0.316	-0.053	-0.316	none	6	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_polarization+metadata+baseline
task_11	rf	-0.27	0.017	-0.282	-0.282	-0.258	none	6	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_polarization+metadata+baseline
task_11	elnet	0.142	0.133	0.048	0.048	0.236	none	5	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	lasso	-0.108	0.221	-0.265	0.048	-0.265	none	5	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	rf	-0.552	0.072	-0.603	-0.502	-0.603	none	5	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	elnet	0.145	0.137	0.048	0.048	0.242	none	6	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	lasso	-0.123	0.242	-0.295	0.048	-0.295	none	6	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	rf	-0.488	0.108	-0.564	-0.412	-0.564	none	6	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	elnet	0.011	0.082	-0.047	-0.047	0.069	none	7	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	lasso	-0.144	0.137	-0.241	-0.047	-0.241	none	7	pbmc_cell_frequency+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
